Date,,Compiler,Pointer size,Build type,File,Reader,time#1,time#2,time#3,time#4,time#5,time_median
2019-06-27,Baseline,Commit 41a6cc4740114ec5917ec77c3421553527a12760,,,,,,,,,,
2019-06-27,,MSVC_2012,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",2.702,2.498,2.594,2.543,2.535,2.543
2019-06-27,,MSVC_2012,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",2.718,2.498,2.492,2.497,2.511,2.498
2019-06-27,,MSVC_2019.1,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",1.79468,1.76423,1.8441,1.77473,1.78353,1.78353
2019-06-27,,MSVC_2019.1,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",1.81509,1.77051,1.79305,1.7786,1.78608,1.78608
2019-06-27,,MinGW_4.8.0,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",1.19412,1.18825,1.21211,1.18599,1.18676,1.18825
2019-06-27,,MinGW_4.8.0,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",1.19756,1.22293,1.19953,1.19802,1.18683,1.19802
,,,,,,,,,,,,
2019-06-27,std::deque -> std::vector in CharBufferContainer,Commit 3ae78bae7784097574ceeb608cc497077bf91b33,,,,,,,,,,
2019-06-27,,MSVC_2012,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",1.783,1.807,1.799,1.807,1.803,1.803
2019-06-27,,MSVC_2012,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",1.797,1.794,1.778,1.785,1.792,1.792
2019-06-27,,MSVC_2019.1,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",1.58954,1.4637,1.48644,1.4512,1.47664,1.47664
2019-06-27,,MSVC_2019.1,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",1.47807,1.45119,1.45558,1.45855,1.47485,1.45855
2019-06-27,,MinGW_4.8.0,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",1.1983,1.18458,1.18172,1.18719,1.18874,1.18719
2019-06-27,,MinGW_4.8.0,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",1.19856,1.15257,1.1716,1.22223,1.17434,1.17434
,,,,,,,,,,,,
2019-06-29,Increased growth factor of row container to 2 on MSVC,Commit d458743fa5059e4378c739919269f25024bf06e6,,,,,,,,,,
2019-06-29,,MSVC_2012,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",1.667,1.623,1.646,1.633,1.631,1.633
2019-06-29,,MSVC_2012,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",1.696,1.662,1.652,1.663,1.659,1.662
2019-06-29,,MSVC_2019.1,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",1.31774,1.28658,1.28648,1.29535,1.3248,1.29535
2019-06-29,,MSVC_2019.1,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",1.31751,1.29247,1.28773,1.29719,1.30538,1.29719
2019-06-29,,MinGW_4.8.0,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",1.19928,1.18594,1.18545,1.20265,1.18807,1.18807
2019-06-29,,MinGW_4.8.0,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",1.18444,1.16881,1.16953,1.18129,1.18715,1.18129
,,,,,,,,,,,,
2019-06-29,Changed char storage from std::vector to custom implementation,Commit e77cc1ad65a038915332fdff86d8b514de92ab6a,,,,,,,,,,
2019-06-29,,MSVC_2012,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",1.505,1.508,1.505,1.502,1.513,1.505
2019-06-29,,MSVC_2012,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",1.516,1.491,1.508,1.509,1.509,1.509
2019-06-29,,MSVC_2019.1,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",1.06812,1.0346,1.02811,1.03368,1.03234,1.03368
2019-06-29,,MSVC_2019.1,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",1.02399,1.02819,1.02434,1.03679,1.02872,1.02819
2019-06-29,,MinGW_4.8.0,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",0.914466,0.915219,0.905802,0.915807,0.913912,0.914466
2019-06-29,,MinGW_4.8.0,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",0.925292,0.911812,0.906074,0.900497,0.898603,0.906074
,,,,,,,,,,,,
2019-07-02,Char storages are now stored in std::vector instead of std::map,Commit 563903e34ede0f96936f7c8e3aeb4d41536684da,,,,,,,,,,
2019-07-02,,MSVC_2012,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",1.312,1.29,1.301,1.305,1.296,1.301
2019-07-02,,MSVC_2012,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",1.315,1.298,1.295,1.325,1.303,1.303
2019-07-02,,MSVC_2019.1,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",0.948547,0.933922,0.941994,0.947584,0.956046,0.947584
2019-07-02,,MSVC_2019.1,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",0.947517,0.940045,0.94317,0.955793,0.954063,0.947517
2019-07-02,,MinGW_4.8.0,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",0.861455,0.847042,0.839093,0.875517,0.859995,0.859995
2019-07-02,,MinGW_4.8.0,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",0.859,0.844443,0.857783,0.857542,0.865253,0.857783
,,,,,,,,,,,,
2019-07-13,Replaced memcpy() with simple element-wise copy on MSVC,,,,,,,,,,,
2019-07-13,,MSVC_2012,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",1.008,0.982,0.994,0.987,0.999,0.994
2019-07-13,,MSVC_2012,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",1.013,0.975,0.981,0.984,1,0.984
2019-07-13,,MSVC_2019.1,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",0.860914,0.893494,0.865042,0.870673,0.864055,0.865042
2019-07-13,,MSVC_2019.1,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",0.880389,0.885514,0.867255,0.857926,0.91176,0.880389
2019-07-13,,MinGW_4.8.0,4,release,r4M x c7 abc content,"TableCsv<char,uint32>",0.793507,0.836294,0.806592,0.815401,0.819672,0.815401
